,title,description,topic,,
487,Tài xế bị phạt 17 triệu đồng vì chạy ngược chiều cao tốc ,Nam tài xế 42 tuổi bị phạt 17 triệu đồng và tước bằng lái 6 tháng do lái ôtô ngược chiều trên cao tốc TP HCM - Long Thành - Dầu Giây.,thoi-su,,
488,Tổng bí thư dâng hương tưởng niệm Chủ tịch Hồ Chí Minh ,"Hà NộiTổng bí thư Nguyễn Phú Trọng dâng hương tưởng niệm Chủ tịch Hồ Chí Minh tại nhà 67 trong khu di tích Phủ chủ tịch, sáng 1/9.",thoi-su,,
489,Khánh thành cao tốc Vân Đồn - Móng Cái ,"Quảng NinhTừ 15h ngày 1/9, người dân bắt đầu được lưu thông trên cao tốc Vân Đồn - Móng Cái với tốc độ tối đa 120 km/h, không phải trả phí trong một tháng.",thoi-su,,
490,Lễ thượng cờ mừng Quốc khánh 2/9,"Hà NộiSáng 1/9, chào mừng 77 năm ngày Quốc khánh, nghi lễ thượng cờ cấp quốc gia được tổ chức tại quảng trường Ba Đình.",thoi-su,,
491,Vợ chồng già tử vong sau cú tông vào xe đầu kéo ,"Quảng TrịNgười đàn ông 82 tuổi lái xe máy chở vợ lúc rạng sáng, không may đâm vào xe đầu kéo đỗ cùng chiều phía trước khiến cả hai tử vong.",thoi-su,,
492,Phố đi bộ ven sông Sài Gòn,"Bình DươngPhố đi bộ bên sông Sài Gòn, TP Thủ Dầu Một dài 970 m, đang hoàn thiện những công đoạn cuối để đưa vào hoạt động dịp 2/9.",thoi-su,,
493,Chính sách nổi bật có hiệu lực từ tháng 9 ,"Thí điểm đưa phạm nhân lao động ngoài trại giam; ghi âm, ghi hình trái phép tại phiên tòa bị phạt đến 15 triệu đồng... là chính sách có hiệu lực từ tháng 9.",thoi-su,,
494,Những ngôi làng đổi thay nhờ xuất khẩu lao động ,"Mỗi năm lao động đi làm việc ở nước ngoài gửi về khoảng 500 tỷ đồng khiến xã Cương Gián (Nghi Xuân, Hà Tĩnh) như ""lột xác"", biệt thự mọc lên khắp xã.",thoi-su,,
495,Chủ tịch nước chủ trì lễ kỷ niệm 77 năm Quốc khánh ,"Tối 31/8, Chủ tịch nước Nguyễn Xuân Phúc và phu nhân chủ trì lễ kỷ niệm 77 năm ngày Quốc khánh nước Cộng hòa Xã hội Chủ nghĩa Việt Nam (2/9/1945).",thoi-su,,
496,Cựu chánh án TAND tỉnh Hòa Bình bị đề nghị kỷ luật ,"Ông Hà Quang Dĩnh, cựu bí thư Ban cán sự đảng, cựu chánh án TAND tỉnh Hoà Bình, bị đề nghị kỷ luật do làm trái quy định về xử lý vật chứng, ra quyết định trái luật.",thoi-su,,
497,Nhiều cá heo xuất hiện ở biển Khánh Hòa ,"Đàn cá heo bơi lội trước tàu ngư dân tại vùng biển gần Mũi Đôi - điểm cực đông trên đất liền Việt Nam, ngày 31/8.",thoi-su,,
498,Trả lại 200 triệu đồng nhặt được ,"Nghệ AnBà Hoàng Thị Xuân, 44 tuổi, trú xã Thanh Giang, huyện Thanh Chương cùng chồng trả lại bọc tiền 200 triệu đồng.",thoi-su,,
499,Nhiều lãnh đạo sở ở Hà Tĩnh bị kỷ luật ,"Phó giám đốc Sở NN&PTNT Trần Huy Oánh bị cảnh cáo, Phó giám đốc Sở Xây dựng Phạm Văn Tình bị khiển trách do vi phạm trong chương trình OCOP và quản lý đầu tư xây dựng.",thoi-su,,
500,"Ùn tắc cửa ngõ Hà Nội, TP HCM trước ngày nghỉ lễ","Nhiều tuyến đường ở cửa ngõ Hà Nội, TP HCM ùn ứ do người dân đổ về quê nghỉ lễ Quốc khánh, chiều 31/8.",thoi-su,,
501,Gần 700 con lợn chết sau khi tiêm vaccine ,"Hàng trăm con lợn ở huyện Sơn Tịnh, Nghĩa Hành và TP Quảng Ngãi bị chết sau khi tiêm phòng vaccine dịch tả lợn châu Phi.",thoi-su,,
502,Mất cơ hội việc làm vì đồng hương cư trú bất hợp pháp ,"Học ngoại ngữ, chuẩn bị sẵn sàng cho kỳ thi để sang Hàn Quốc làm việc, Diệp sốc khi hay tin quê mình nằm trong danh sách dừng tuyển lao động.",thoi-su,,
503,Xe tải lật đè chết hai phụ nữ ,"Lâm ĐồngTrong lúc đi xe máy trên quốc lộ 20, hai phụ nữ bị ôtô tải chạy hướng ngược chiều bất ngờ băng ngang đường, lật đè lên người.",thoi-su,,
504,Thủ tướng đề nghị nghiên cứu mở rộng Phan Thiết ,"Lãnh đạo Chính phủ đề nghị chính quyền Bình Thuận nghiên cứu mở rộng địa giới hành chính Phan Thiết bởi ""diện tích thành phố bây giờ rất bé"".",thoi-su,,
505,Chó pitbull cắn chết chủ nhà ,"Thanh HóaNgười phụ nữ 64 tuổi ở xã Hoằng Phụ, huyện Hoằng Hóa, cho chó pitbull ăn, nhưng bị nó tấn công khiến tử vong.",thoi-su,,
506,Hoàn thành cải tạo vỉa hè quanh Hồ Con Rùa ,"TP HCMSau gần 4 tháng thi công, gần 1,3 km vỉa hè quanh Hồ Con Rùa đã được nâng cấp, góp phần chỉnh trang đô thị khu trung tâm.",thoi-su,,
507,Lao động Việt thu nhập bằng một nửa Thái Lan ,"So với lao động Trung Quốc, Thái Lan, thu nhập hàng tháng của người Việt Nam bằng một nửa và chỉ hơn nhân công Lào, Campuchia và Myanmar, theo JICA.",thoi-su,,
508,Nhiều khu vực mưa dịp nghỉ lễ 2/9 ,"Miền Bắc, Bắc Trung Bộ và Nam Bộ dự báo có mưa vào hai ngày 1-2/9, trong khi đó Trung Trung Bộ mưa từ 3/9.",thoi-su,,
509,Giải cứu 10 thiếu niên kẹt trong lũ ,"Lâm ĐồngMưa to, lũ ở thượng nguồn đổ về khiến dòng suối rộng hơn 20 m dâng cao, 10 thiếu niên đi dã ngoại trong rừng sâu bị kẹt, chiều 30/8.",thoi-su,,
510,6.000 xe quá tải bị cắt gọt thành thùng trong hai tháng ,"Sau hai tháng cao điểm tuần tra, hàng chục nghìn trường hợp chở quá tải đã bị xử lý, trong đó 6.000 thùng xe bị tháo cắt.",thoi-su,,
511,Hình ảnh mô phỏng Hồ Gươm giành giải nhất sáng tác logo quận Hoàn Kiếm ,Hà NộiQuận Hoàn Kiếm trao giải nhất cuộc thi sáng tác biểu trưng (logo) cho tác phẩm mô phỏng Hồ Gươm ở vị trí trung tâm và các tuyến đường chính hội tụ về đó.,thoi-su,,
512,Bình Thuận khởi công khu công nghiệp hơn 1.000 ha ,"Khu công nghiệp Sơn Mỹ 1 quy mô 1.070 ha, tổng vốn hơn 2.300 tỷ đồng, lớn nhất tỉnh Bình Thuận, dự kiến hoàn thành năm 2025, khởi công chiều 30/8.",thoi-su,,
513,Cứu 8 người Myanmar trôi dạt trên biển ,"Bà Rịa - Vũng Tàu8 người quốc tịch Myanmar bám vào bồn nhựa, trôi dạt trên biển được một thuyền viên người Việt trên tàu hàng quốc tịch Panama phát hiện, cứu vớt.",thoi-su,,
514,5 phút tháo chạy của công nhân vụ nổ đường ống khí ,"Bắc NinhHai bàn chân lột da, tứa máu sau vụ nổ, Hiền nghiến răng nén đau, túm lấy áo đồng nghiệp chạy phía trước, cố thoát khỏi nhà xưởng.",thoi-su,,
515,Cây ngã đè nhà dân ,"TP HCMHàng loạt cây dầu cao 15-20 m ở Hóc Môn, bị gió mạnh thổi ngã chắn ngang đường, đè xe máy, nhà dân, làm đứt dây điện, chiều 30/8.",thoi-su,,
516,"Máy bay, tàu xe dịp 2/9 còn chỗ, giá tăng nhẹ ","Một ngày trước dịp nghỉ lễ Quốc khánh kéo dài 4 ngày (1-4/9), vé máy bay, tàu xe đi các điểm du lịch còn nhiều, giá bằng hoặc tăng nhẹ so với dịp hè.",thoi-su,,
517,Xếp hàng từ 4h sáng mua bánh trung thu ,"Hải PhòngKhi trời còn chưa sáng, hàng chục người đã đến phố Cầu Đất, quận Ngô Quyền, xếp hàng chờ mua bánh trung thu từ một cửa hàng nổi tiếng.",thoi-su,,
518,Tàu Metro Số 1 chạy thử trong 4 tháng ,"TP HCMToàn bộ 17 đoàn tàu Metro Số 1 được cho chạy thử tại depot Long Bình, TP Thủ Đức từ nay đến cuối năm để chuẩn bị thử nghiệm trên tuyến chính.",thoi-su,,
519,Thủ tướng: 'Đồng bào có đạo là máu thịt của dân tộc Việt Nam' ,"TP HCMLãnh đạo Chính phủ khẳng định không phân biệt lương - giáo, tất cả đồng bào có đạo là máu thịt của dân tộc Việt Nam và tôn giáo nào cũng hướng đến chân - thiện - mỹ.",thoi-su,,
520,"Nổ đường ống khí, 34 người bị thương ","Bắc NinhĐường ống dẫn khí thải của Công ty TNHH Seojin Auto, TP Từ Sơn, bị nổ khiến 34 người nhập viện, nhiều người bỏng nặng, sáng 30/8.",thoi-su,,
521,TP HCM thi công lại cầu Long Kiểng sau ba năm đình trệ ,"Cầu Long Kiểng mới ở huyện Nhà Bè, tổng vốn gần 600 tỷ đồng sẽ được thi công lại sau ba năm ngưng trệ, dự kiến hoàn thành vào cuối năm tới.",thoi-su,,
522,Ôtô 5 chỗ đậu trên vỉa hè bốc cháy trong đêm ,"Đăk LăkÔtô 5 chỗ của anh Nguyễn Tuấn, 21 tuổi, đậu trước cửa nhà ở TP Buôn Ma Thuột bất ngờ bốc cháy rạng sáng 30/8, cảnh sát nghi do bị đốt.",thoi-su,,
523,Xe tải rơi xuống sông Hồng từ độ cao 30 m ,"Hà NộiXe tải đang chạy trên cầu Thanh Trì thì lao vào lan can, rơi xuống sông Hồng từ độ cao 30 m, tài xế thoát ra ngoài bơi vào bờ, sáng 30/8.",thoi-su,,
524,Đề xuất hơn 30.500 tỷ đồng làm 11 dự án kết nối cảng biển ,"TP HCMSở Giao thông Vận tải đề nghị bổ sung hơn 30.500 tỷ đồng vào kế hoạch vốn giai đoạn 2021-2025 để làm 11 dự án giải quyết ùn tắc, tăng kết nối cảng biển.",thoi-su,,
525,Kiến nghị nghỉ Tết Nguyên đán 2023 sớm ,Nhiều chuyên gia cho rằng nên bắt đầu kỳ nghỉ Tết Nguyên đán sớm thay vì 29 hoặc 30 âm lịch để giảm áp lực giao thông và người lao động ở xa kịp về quê.,thoi-su,,
526,Chật vật kêu gọi lao động bất hợp pháp hồi hương ,"Lần thứ năm trong hai năm qua, ông Chu Ngọc Tửu đến nhà ông Bắc thuyết phục gia đình gọi con đang cư trú bất hợp pháp về nước, nhưng kết quả gần như vô vọng.",thoi-su,,
527,Đà Nẵng bốc thăm chọn 5 cán bộ để xác minh tài sản ,"Năm cán bộ được bốc thăm để xác minh tài sản gồm ba người của Sở Kế hoạch và Đầu tư, hai người của Công ty TNHH MTV Nhà xuất bản Tổng hợp.",thoi-su,,
528,Thu hồi quyết định thành lập Hội tướng lĩnh Đức Thọ ,"Hà TĩnhHuyện Đức Thọ hủy bỏ quyết định thành lập Hội tướng lĩnh huyện do hồ sơ chưa đảm bảo quy định, vi phạm những điều Đảng viên không được làm.",thoi-su,,
529,"200 công an bảo vệ an ninh, ngăn cá độ ở lễ hội chọi trâu ","Hải PhòngTại lễ hội chọi trâu Đồ Sơn, 200 công an sẽ được huy động để đảm bảo an ninh trật tự, ngăn chặn và xử lý những trường hợp tổ chức, tham gia cá độ.",thoi-su,,
530,"Cháy chợ, 10 cửa hàng bị thiêu rụi ","Đồng ThápLửa phát ra từ một cửa hàng tạp hoá tại chợ Vĩnh Thạnh, huyện Lấp Vò sau đó lan nhanh sang 9 gian khác, tối 29/8.",thoi-su,,
531,Lập Hội đồng điều phối vùng thủ đô ,"Hội đồng điều phối vùng thủ đô do một phó thủ tướng làm chủ tịch, nhằm tham mưu cơ chế, chính sách phát triển bền vững 10 tỉnh, thành quanh Hà Nội.",thoi-su,,
532,Tổng bí thư: Người yếu thế cần nhận được trợ giúp từ Hội Chữ thập đỏ ,"Tổng bí thư đề nghị Hội Chữ thập đỏ thực hiện tốt ""Mỗi tổ chức, cá nhân gắn với một địa chỉ nhân đạo"" để người khó khăn, yếu thế đều được trợ giúp.",thoi-su,,
533,Cứu 9 người kẹt trong thang máy ,"TP HCMNhóm nhân viên trong lúc đi thang máy tại toà nhà 4 tầng ở quận 5 bị mắc kẹt khoảng 45 phút, ngạt thở, may mắn được giải cứu, chiều 29/8.",thoi-su,,
534,Hoàn thành dự án Bảo tàng Hà Nội vào tháng 6/2024 ,"Bí thư Hà Nội Đinh Tiến Dũng đề nghị UBND thành phố đẩy nhanh tiến độ nhằm hoàn thành dự án Bảo tàng vào tháng 6/2024, vận hành tháng 8/2024.",thoi-su,,
535,Các hãng bay dừng kiểm tra thẻ hành lý ,"Tại lối ra nhà ga đến nội địa, các hãng hàng không sẽ dừng kiểm tra thẻ hành lý để tiết kiệm thời gian, tạo luồng di chuyển thông thoáng.",thoi-su,,
536,TP HCM không thể thu hồi gần 400 tỷ đồng nợ bảo hiểm ,"Gần 7.500 doanh nghiệp nợ bảo hiểm xã hội 396 tỷ đồng nhưng đã giải thể, dừng hoạt động, chủ bỏ trốn nên khó thu hồi, ảnh hưởng 34.000 lao động.",thoi-su,,
537,Hơn 19 tỷ đồng đóng cửa mỏ vàng Bồng Miêu ,"HĐND tỉnh Quảng Nam thông qua dự án đóng cửa mỏ vàng Bồng Miêu, phục hồi môi trường với vốn đầu tư 19,5 tỷ đồng, sáng 29/8.",thoi-su,,
538,"Cứu con đuối nước, hai cha con cùng tử vong ","Quảng NamÔng Phan Tấn Nhân, 46 tuổi, thấy con gái 9 tuổi đuối nước liền bơi ra cứu, nhưng không may cả hai tử vong, sáng 29/8.",thoi-su,,
539,Tàu cá nằm bờ do các cửa hàng 'hết dầu' ,"Bình ThuậnHàng loạt tàu cá ở Phan Thiết phải nằm bờ, không thể ra khơi đánh bắt hải sản, do ngư dân không mua được dầu diesel (DO) chạy tàu.",thoi-su,,
540,Khởi công hai đường kết nối sân bay Long Thành vào tháng 12 ,"UBND tỉnh Đồng Nai cùng Tổng công ty cảng hàng không Việt Nam (ACV) hoàn thiện hồ sơ để khởi công tuyến số 1 và 2, tổng vốn 4.800 tỷ, kết nối sân bay Long Thành.",thoi-su,,
541,Hà Nội sẽ xây dựng đường vành đai 5 trước năm 2030 ,"Thành phố Hà Nội đặt mục tiêu đầu tư khép kín 7 tuyến đường vành đai, trong đó chuẩn bị đầu tư, xây dựng vành đai 5 trước năm 2030.",thoi-su,,
542,'Trường Hy Vọng chọn cho trẻ con chữ và nếp sống kỷ cương' ,Giám đốc dự án Trường Hy Vọng Hoàng Quốc Quyền trả lời VnExpress về hành trình và kế hoạch đưa trẻ mồ côi vì Covid-19 hòa nhập ngôi nhà mới.,thoi-su,,
543,"Lao động xa xứ giằng xé vì bỏ trốn, làm chui ","Làm việc bất hợp pháp, chị Thanh được trả lương cao hơn, nhưng luôn nơm nớp lo sợ bị phát hiện, trục xuất.",thoi-su,,
544,Nhà xưởng cháy lớn lúc rạng sáng ,"Quảng NinhDo chập điện, 440 m2 nhà xưởng và kho của chi nhánh Công ty Thương mại xuất nhập khẩu Vĩ Tuyến bị cháy rạng sáng 29/8.",thoi-su,,
545,Tuyến đường 1.200 tỷ đồng đi vườn quốc gia Bến En ,"Thanh HóaCung đường Vạn Thiện dài 12 km được kỳ vọng sẽ giúp khai thác hiệu quả tiềm năng, lợi thế của Vườn quốc gia Bến En trong tương lai.",thoi-su,,
546,Cứu nữ tài xế kẹt trong ôtô gặp nạn ,"Bình ThuậnXe 7 chỗ va chạm ôtô tải ở huyện Tánh Linh, nữ tài xế mắc kẹt trong cabin xe hơi được người dân giải cứu, chiều 28/8.",thoi-su,,
547,Ưu tiên xây dựng đô thị sân bay Sa Pa ,"Thủ tướng yêu cầu Lào Cai ưu tiên nguồn lực phát triển hạ tầng đồng bộ, trong đó lưu ý xây dựng cảng hàng không Sa Pa theo hướng đô thị sân bay.",thoi-su,,
548,Cửa vào sân bay sẽ lắp hệ thống thu phí xe tự động ,"Các sân bay sẽ phải đầu tư hệ thống thu phí không dừng (ETC) để phương tiện đi lại thông suốt, tránh tình trạng ùn tắc, theo chỉ đạo của Bộ Giao thông Vận tải.",thoi-su,,
549,Thanh Hóa khởi công tượng đài 255 tỷ đồng ,"Dự án Khu lưu niệm đồng bào, cán bộ, chiến sĩ và học sinh miền Nam tập kết ra Bắc gồm hạng mục chính là tượng đài con tàu tập kết dự kiến hoàn thành giữa năm 2023.",thoi-su,,
550,Cao tốc 176 km của Quảng Ninh sẽ có hai trạm dừng nghỉ 5 sao ,"Trên trục cao tốc 176 km sắp thông toàn tuyến, tỉnh Quảng Ninh sẽ xây dựng hai trạm dừng nghỉ 5 sao có thể kết hợp chức năng văn phòng cho thuê, khách sạn...",thoi-su,,
551,Đội kèn công an biểu diễn trên phố đi bộ Nguyễn Huệ,"TP HCM85 nghệ sĩ thuộc đội kèn công an tham gia trình diễn tại phố đi bộ Nguyễn Huệ (quận 1) thu hút đông đảo người dân đến xem, tối 27/8.",thoi-su,,
552,Cháy kho hàng lan sang nhà dân ,"TP HCMLửa bao trùm kho giày dép rộng gần 200 m2 trong khu dân cư ở quận 11 khiến nhiều người tháo chạy, tối 27/8.",thoi-su,,
553,Áp lực kiếm tiền của lao động xa xứ ,"Liên tục làm thêm thành 12 tiếng mỗi ngày, ăn cơm chung với các cụ già ở trại dưỡng lão, chị Hồng muốn tích cóp tiền tối đa để gửi về quê nuôi bốn con ăn học.",thoi-su,,
554,Tử vong khi cứu nhóm thi bơi qua hồ cá ,"Thanh HóaMột nhóm thanh niên ra hồ cá uống rượu, thách đố thi bơi nhưng gặp nạn khiến nhiều người phải cứu giúp. Hai thi thể sau đó được tìm thấy dưới hồ.",thoi-su,,
555,Trao tặng xe đạp và máy tính bảng cho Trường Hy Vọng ,Đà NẵngQuỹ Hy Vọng vừa trao 50 xe đạp và 30 máy tính bảng cho các em học sinh Trường Hy Vọng để hỗ trợ đi lại và học tập.,thoi-su,,
556,Ưu tiên xây dựng sân bay vùng Trung du miền núi phía Bắc ,"Thủ tướng yêu cầu ưu tiên xây dựng các tuyến cao tốc kết nối vùng, sân bay, cửa khẩu quốc tế cho Trung du miền núi phía Bắc, hình thành một số cực tăng trưởng.",thoi-su,,
557,Biển Nha Trang đông nghịt khách,"Khánh HòaHàng nghìn người đổ ra bãi biển Trần Phú, TP Nha Trang tắm biển, vui chơi chiều cuối tuần.",thoi-su,,
558,Thêm 4 trận động đất liên tiếp ở Kon Tum và Quảng Nam ,"Trận động đất 3 độ richter xảy ra ở huyện Nam Trà My, Quảng Nam và ba trận 2,5-3 độ tại Kon Plông, Kon Tum, ngày 27/8, song không gây thiệt hại.",thoi-su,,
559,Hai phương án nghỉ Tết Âm lịch 2023 ,"Bộ Lao động Thương binh và Xã hội bắt đầu xin ý kiến bộ ngành về kỳ nghỉ Tết Nguyên đán Quý Mão, với hai phương án nghỉ 7 hoặc 9 ngày.",thoi-su,,
560,Hà Nội phát sinh nhiều điểm ùn tắc mới ,"Số điểm ùn tắc từ 67 giảm còn 31 sau 10 năm, nhưng gần đây điểm phát sinh mới có xu hướng cao hơn số được xử lý, theo Sở Giao thông Vận tải TP Hà Nội.",thoi-su,,
561,Tài xế lạng lách trên quốc lộ sẽ bị phạt 11 triệu đồng ,"Nghệ AnNgười đàn ông 48 tuổi sẽ bị phạt 11 triệu đồng vì lái xe bốn chỗ liên tục lạng lách, đánh võng trên quốc lộ qua huyện Diễn Châu.",thoi-su,,
562,9 nhân viên y tế Lâm Đồng bị xác định nhận tiền của Việt Á ,Bảy nhân viên CDC tỉnh và hai người ở Bệnh viện đa khoa Lâm Đồng II bị xác định nhận gần 800 triệu đồng của Công ty cổ phần công nghệ Việt Á sai quy định.,thoi-su,,
563,Cách chức nhiều cán bộ liên quan phân lô hơn 2.300 nền đất ,"Khánh HòaNhiều lãnh đạo, cán bộ huyện Cam Lâm bị kỷ luật do để xảy ra sai phạm trong quản lý đất đai, gây nguy cơ thất thu ngân sách.",thoi-su,,
564,Công nhân bỏ về quê vì nhà máy ít việc ,"Bình DươngNhà máy giảm 50% đơn hàng, anh Huỳnh Văn Toản, 40 tuổi, nghỉ việc đưa con về Cà Mau, trở lại nghề đi biển sau gần 20 năm rời quê làm công nhân.",thoi-su,,
565,TP HCM sắp có thêm hơn 2.000 nhà ở xã hội ,"Hai dự án nhà ở xã hội với 2.064 căn xây ở quận 7 và TP Thủ Đức cuối tháng 8 giúp công nhân, người thu nhập thấp dễ tiếp cận, theo Sở Xây dựng thành phố.",thoi-su,,
566,Xuất khẩu lao động - 40 năm giải bài toán việc làm ,"Mỗi năm lao động xuất khẩu gửi về 3-4 tỷ USD, giúp nhiều làng quê thay đổi. Tuy nhiên, lĩnh vực này chưa có chiến lược tổng thể, phần lớn người đi tay nghề thấp.",thoi-su,,
567,Trắng đêm bẫy chuột giữ lúa ,"Quảng BìnhĐặt bẫy từ 14h đến nửa đêm, đội thợ săn bẫy được khoảng 150 kg chuột, bảo vệ 60 ha lúa của thôn Đông Thành, xã Liên Thủy, huyện Lệ Thủy.",thoi-su,,
568,Chủ tịch nước đánh trống khai trường Trường Hy Vọng ,"Đà NẵngChiều 26/8, Chủ tịch nước Nguyễn Xuân Phúc đánh trống mở đầu năm học mới 2022-2023 của hơn 200 học sinh Trường Hy Vọng (Hope School).",thoi-su,,
569,TP HCM kỷ luật nhiều đảng viên ,"15 đảng viên tại Tổng công ty công nghiệp Sài Gòn bị kỷ luật do thiếu trách nhiệm, gây hậu quả nghiệm trọng, làm thất thoát tài sản nhà nước.",thoi-su,,
570,Đề xuất đường 22.600 tỷ đồng kết nối miền Tây ,"Đường hành lang dài hơn 80 km, vượt sông Tiền, sông Hậu, kết nối các quốc lộ, cao tốc trục ngang đi qua Đồng Tháp, Cần Thơ và Kiên Giang được đề xuất xây dựng.",thoi-su,,
571,Phó chủ tịch tỉnh Quảng Ninh bị cảnh cáo ,"Ông Phạm Văn Thành, Phó chủ tịch UBND tỉnh Quảng Ninh bị cảnh cáo do vi phạm liên quan kit xét nghiệm Việt Á, trong thời gian làm lãnh đạo thị xã Đông Triều.",thoi-su,,
572,26 khu 'đất vàng' bỏ hoang ở trung tâm TP HCM ,Nhiều dự án cao ốc tại quận 1 với tổng diện tích hàng chục nghìn m2 đang bỏ trống hoặc dang dở nhiều năm khiến địa phương chưa phát huy hết tiềm năng.,thoi-su,,
573,Thi thể phụ nữ dưới cống hộp ,"TP HCMMở nắp cống hộp trên đường ở quận Bình Tân, nhóm công nhân môi trường phát hiện thi thể người phụ nữ đang phân huỷ, sáng 26/8.",thoi-su,,
574,1/4 số thực tập sinh Nhật Bản trở về Việt Nam kiếm được việc làm ,"26,7% thực tập sinh Việt Nam từ Nhật Bản về nước có việc làm ngay, bằng một nửa so với Trung Quốc, Thái Lan, theo báo cáo của JICA.",thoi-su,,
575,Đề xuất làm bãi xe buýt 1.500 m2 gần Tân Sơn Nhất ,"TP HCMTrung tâm Quản lý giao thông công cộng đề xuất làm bãi xe buýt 1.500 m2 trong công viên Gia Định để đón trả khách, giúp giảm ùn tắc cho Tân Sơn Nhất.",thoi-su,,
576,Hàng loạt cây xanh bật gốc sau bão Maon,"Bão Maon quật đổ hàng trăm cây xanh, gây mất điện, ngập lụt nhiều khu dân cư ở Quảng Ninh, Hải Phòng từ tối qua đến sáng nay.",thoi-su,,
577,Giằng co tăng lương ở nhà máy ,"TP HCMSau khi lương tối thiểu vùng tăng từ 1/7, nhiều nhà máy đưa ra phương án thương lượng, điều chỉnh mức mới, song không dễ đạt thỏa thuận với công nhân.",thoi-su,,
578,Đề xuất chuyển đường Lê Lợi thành phố đi bộ ,"TP HCMQuận 1 đề xuất khi Metro Số 1 (Bến Thành - Suối Tiên) hoàn trả mặt bằng, đường Lê Lợi sẽ tổ chức phố đi bộ để thu hút khách du lịch, phát triển kinh tế đêm.",thoi-su,,
579,TP HCM lún bình quân 2 cm mỗi năm ,"Nền đất tại thành phố bị sụt lún trung bình khoảng 2 cm mỗi năm, có nơi đến 6 cm, và đô thị 10 triệu dân đối mặt tình trạng ngập lụt thường xuyên hơn.",thoi-su,,
580,"NATO, Mỹ cảnh báo Nga về vũ khí hạt nhân ở Ukraine ","NATO cảnh báo ""hậu quả nghiêm trọng"" nếu Moskva dùng vũ khí hạt nhân ở Ukraine, trong khi cựu tướng Mỹ cho rằng lực lượng Nga sẽ bị ""hủy diệt"".",the-gioi,,
581,80 người Mỹ thiệt mạng trong bão Ian ,"Các bang Mỹ xác nhận ít nhất 80 người chết do bão Ian, trong khi 750.000 người vẫn chịu cảnh mất điện.",the-gioi,,
582,Giáo hoàng lo ngại nguy cơ chiến tranh hạt nhân ở Ukraine ,"Giáo hoàng Francis cho rằng tình hình ở Ukraine tiềm ẩn nguy cơ leo thang hạt nhân, kêu gọi các bên ngừng bắn để đàm phán hòa bình.",the-gioi,,
583,Ông Putin trình quốc hội hiệp ước sáp nhập 4 tỉnh Ukraine ,"Tổng thống Nga trình hiệp ước lên quốc hội về việc sáp nhập 4 tỉnh Ukraine, nhằm khiến quyết định này ""không thể đảo ngược"".",the-gioi,,
584,EU dọa đáp trả Nicaragua ,"EU chỉ trích việc quốc gia Trung Mỹ Nicaragua trục xuất đại sứ của Brussels và cắt quan hệ với Hà Lan, cảnh báo sẽ có biện pháp đáp trả cứng rắn.",the-gioi,,
585,Bên trong thành phố chiến lược Ukraine vừa giành lại ,"Lyman, thành phố chiến lược ở miền đông Ukraine, trở thành đô thị hoang vắng, đổ nát sau khi lực lượng Nga rút lui sau nhiều ngày bị vây ép.",the-gioi,,
586,Bài toán phụ thuộc năng lượng của châu Âu ,Châu Âu đã phải phụ thuộc nguồn dầu mỏ bên ngoài từ thế kỷ 19 và đến nay vẫn chưa tìm ra lời giải cho bài toán năng lượng.,the-gioi,,
587,Hải quân Mỹ bị tố nói dối vụ nước nhiễm xăng trên tàu sân bay ,Thủy thủ tàu sân bay USS Nimitz cáo buộc cấp trên che giấu mức độ nghiêm trọng của vụ nước nhiễm xăng trên chiến hạm.,the-gioi,,
588,Cảnh sát Indonesia hứng chỉ trích vụ 125 người chết vì giẫm đạp ,"Cảnh sát Indonesia chịu chỉ trích vì dùng hơi cay giải tán đám đông hâm mộ quá khích sau trận bóng, dẫn đến vụ giẫm đạp khiến 125 người chết.",the-gioi,,
589,Lãnh đạo 9 nước NATO ủng hộ Ukraine gia nhập ,Lãnh đạo 9 nước NATO ra tuyên bố chung ủng hộ tiến trình trở thành thành viên của Ukraine và kêu gọi tăng viện trợ quân sự cho nước này.,the-gioi,,
590,Quan chức Nga chỉ trích quân đội rút khỏi Lyman ,Một số quan chức Nga chỉ trích giới lãnh đạo quân đội sau khi các lực lượng nước này rút khỏi thành phố chiến lược Lyman ở miền đông Ukraine.,the-gioi,,
591,Nhân chứng kể giây phút hỗn loạn tại sân vận động Indonesia ,Firari Vilallah không bao giờ tưởng tượng được rằng một trận đấu của đội bóng anh yêu thích sẽ cướp đi sinh mạng ít nhất 125 người.,the-gioi,,
592,Đường ống Nord Stream ngừng rò rỉ ,"Giới chức Đan Mạch xác nhận đường ống dẫn khí đốt Nord Stream 1 ngừng rò rỉ, một ngày sau khi ra thông báo tương tự về Nord Stream 2.",the-gioi,,
593,Ba nước châu Âu đồng ý cung cấp 16 pháo tự hành cho Ukraine ,"Đức, Đan Mạch và Na Uy nhất trí khoản tài trợ 90,2 triệu USD mua 16 pháo tự hành Zuzana 2 cho Ukraine, dự kiến chuyển giao từ năm sau.",the-gioi,,
594,Israel bắt 6 thành viên IS nằm vùng ,"Cơ quan an ninh Israel thông báo họ bắt 6 người có liên hệ với tổ chức IS, nghi là thủ phạm loạt vụ tấn công chết người đầu năm.",the-gioi,,
